mall,store,citizenship,age,gender,race
313Somerset,Charles & Keith,SG Citizen,22,Female,Chinese
313Somerset,Bysi,SG Citizen,25,Female,Chinese
313Somerset,Bysi,SG Citizen,22,Female,Chinese
313Somerset,Bysi,SG Citizen,39,Female,Indian
313Somerset,Bysi,SG Citizen,46,Female,Malay
313Somerset,Bysi,SG Citizen,35,Female,Chinese
313Somerset,Bysi,SG Citizen,19,Female,Chinese
313Somerset,Bysi,SG PR,58,Female,Others
313Somerset,Bysi,SG Citizen,31,Female,Chinese
313Somerset,Bysi,SG Citizen,48,Female,Chinese
313Somerset,Bysi,SG Citizen,26,Female,Chinese
Centrepoint,Bysi,SG Citizen,47,Female,Malay
Centrepoint,Bysi,SG Citizen,22,Female,Malay
Centrepoint,Bysi,SG Citizen,25,Female,Chinese
Centrepoint,Bysi,SG Citizen,56,Female,Chinese
Centrepoint,Bysi,SG Citizen,37,Female,Indian
Centrepoint,Bysi,SG Citizen,30,Female,Chinese
Vivocity,Bysi,SG Citizen,20,Female,Chinese
Vivocity,Bysi,SG Citizen,26,Female,Chinese
Vivocity,Bysi,SG Citizen,35,Female,Malay
Vivocity,Bysi,SG Citizen,28,Female,Chinese
Vivocity,Bysi,SG Citizen,40,Female,Chinese
Vivocity,Bysi,SG PR,27,Female,Indian
Vivocity,Bysi,SG PR,31,Female,Chinese
Jurong Point,Bysi,SG Citizen,24,Female,Indian
Jurong Point,Bysi,SG Citizen,20,Female,Chinese
Centrepoint,Bysi,SG Citizen,22,Female,Chinese
Centrepoint,Bysi,SG Citizen,38,Female,Chinese
Centrepoint,Bysi,SG Citizen,21,Female,Chinese
Vivocity,Bysi,SG Citizen,32,Female,Chinese
Jurong Point,Bysi,SG Citizen,32,Female,Chinese
Jurong Point,Bysi,SG Citizen,27,Female,Chinese
Jurong Point,Bysi,SG Citizen,18,Female,Chinese
Jurong Point,Bysi,SG Citizen,34,Female,Chinese
Jurong Point,Bysi,SG Citizen,36,Female,Chinese
Jurong Point,Bysi,SG Citizen,40,Female,Indian
Jurong Point,Bysi,SG Citizen,21,Female,Malay
Jurong Point,Bysi,SG Citizen,19,Female,Chinese
313Somerset,Bysi,SG Citizen,37,Female,Chinese
313Somerset,Bysi,SG Citizen,53,Female,Chinese
313Somerset,Bysi,SG Citizen,26,Female,Chinese
313Somerset,Bysi,SG Citizen,29,Female,Chinese
313Somerset,Bysi,SG Citizen,30,Female,Chinese
313Somerset,Bysi,SG Citizen,21,Female,Chinese
Centrepoint,Bysi,SG Citizen,21,Female,Chinese
Centrepoint,Bysi,SG Citizen,30,Female,Chinese
Centrepoint,Bysi,SG Citizen,37,Female,Chinese
Centrepoint,Bysi,Student Pass,21,Female,Chinese
Vivocity,Bysi,SG Citizen,23,Female,Chinese
Centrepoint,Bysi,SG Citizen,43,Female,Chinese
Centrepoint,Bysi,SG Citizen,26,Female,Chinese
313Somerset,Bysi,SG Citizen,30,Female,Chinese
313Somerset,Bysi,SG Citizen,18,Female,Chinese
313Somerset,Bysi,SG Citizen,24,Female,Chinese
313Somerset,Bysi,SG Citizen,24,Female,Chinese
313Somerset,Bysi,SG Citizen,19,Female,Chinese
Centrepoint,Bysi,SG Citizen,62,Female,Chinese
Vivocity,Bysi,SG Citizen,25,Female,Chinese
Vivocity,Bysi,SG PR,27,Female,Chinese
Vivocity,Bysi,SG Citizen,37,Female,Chinese
Vivocity,Bysi,SG Citizen,40,Female,Chinese
Vivocity,Bysi,SG PR,31,Female,Chinese
Jurong Point,Bysi,SG Citizen,26,Female,Chinese
Jurong Point,Bysi,SG Citizen,18,Female,Indian
Jurong Point,Bysi,SG Citizen,17,Female,Chinese
Vivocity,Bysi,SG Citizen,23,Female,Chinese
Centrepoint,Bysi,SG Citizen,27,Female,Chinese
Centrepoint,Bysi,SG Citizen,52,Female,Chinese
Centrepoint,Bysi,SG Citizen,38,Female,Chinese
Centrepoint,Bysi,SG Citizen,25,Female,Malay
Jurong Point,Bysi,SG Citizen,25,Female,Chinese
Jurong Point,Bysi,SG Citizen,36,Female,Chinese
Vivocity,Bysi,SG Citizen,26,Female,Chinese
Vivocity,Bysi,SG PR,33,Female,Others
Vivocity,Bysi,SG Citizen,31,Female,Chinese
Vivocity,Bysi,SG Citizen,24,Female,Indian
Jurong Point,Bysi,SG Citizen,21,Female,Chinese
Jurong Point,Bysi,SG Citizen,27,Female,Chinese
Jurong Point,Bysi,SG Citizen,24,Female,Chinese
Jurong Point,Bysi,SG Citizen,30,Female,Chinese
Jurong Point,Bysi,SG Citizen,35,Female,Chinese
313Somerset,Bysi,SG Citizen,17,Female,Chinese
313Somerset,Bysi,SG Citizen,37,Female,Malay
313Somerset,Bysi,SG Citizen,26,Female,Chinese
313Somerset,Bysi,SG PR,29,Female,Chinese
313Somerset,Bysi,SG Citizen,28,Female,Chinese
313Somerset,Bysi,SG Citizen,34,Female,Chinese
313Somerset,Bysi,SG Citizen,39,Female,Chinese
313Somerset,Bysi,SG Citizen,31,Female,Chinese
313Somerset,Bysi,SG Citizen,33,Female,Chinese
313Somerset,Bysi,SG Citizen,39,Female,Indian
Vivocity,Bysi,SG Citizen,26,Female,Chinese
Vivocity,Bysi,SG Citizen,32,Female,Chinese
Vivocity,Bysi,SG Citizen,20,Female,Chinese
Centrepoint,Bysi,SG Citizen,25,Female,Chinese
Centrepoint,Bysi,SG Citizen,37,Female,Chinese
Centrepoint,Bysi,SG Citizen,20,Female,Chinese
Centrepoint,Bysi,SG Citizen,26,Female,Malay
Centrepoint,Bysi,SG Citizen,32,Female,Chinese
Centrepoint,Bysi,SG Citizen,23,Female,Chinese
Centrepoint,Bysi,SG Citizen,28,Female,Chinese
Centrepoint,Bysi,SG Citizen,19,Female,Chinese
Centrepoint,Bysi,SG Citizen,35,Female,Chinese
Centrepoint,Bysi,SG Citizen,24,Female,Eurasian
Jurong Point,Bysi,SG Citizen,24,Female,Chinese
Jurong Point,Bysi,SG Citizen,20,Female,Chinese
Jurong Point,Bysi,SG Citizen,31,Female,Chinese
Jurong Point,Bysi,SG Citizen,19,Female,Chinese
Jurong Point,Bysi,SG Citizen,32,Female,Chinese
Jurong Point,Bysi,SG Citizen,23,Female,Chinese
Jurong Point,Bysi,SG Citizen,30,Female,Chinese
Jurong Point,Bysi,SG Citizen,42,Female,Chinese
Jurong Point,Bysi,SG Citizen,18,Female,Chinese
Jurong Point,Bysi,SG Citizen,29,Female,Chinese
Vivocity,Bysi,SG Citizen,54,Male,Indian
Vivocity,Bysi,SG Citizen,44,Female,Chinese
Vivocity,Bysi,SG PR,42,Female,Chinese
Vivocity,Bysi,SG Citizen,18,Female,Chinese
Vivocity,Bysi,SG Citizen,31,Female,Chinese
Vivocity,Bysi,SG Citizen,34,Female,Chinese
Vivocity,Bysi,SG Citizen,29,Female,Malay
313Somerset,Bysi,SG Citizen,45,Female,Chinese
313Somerset,Bysi,SG Citizen,36,Female,Malay
313Somerset,Bysi,SG PR,34,Female,Chinese
313Somerset,Bysi,SG Citizen,20,Female,Malay
313Somerset,Bysi,SG Citizen,22,Female,Chinese
313Somerset,Bysi,SG Citizen,30,Female,Indian
313Somerset,Bysi,SG Citizen,26,Female,Chinese
313Somerset,Bysi,SG Citizen,20,Female,Chinese
Jurong Point,Bysi,SG PR,29,Female,Indian
Jurong Point,Bysi,SG Citizen,28,Female,Chinese
Jurong Point,Bysi,SG Citizen,20,Male,Chinese
Jurong Point,Bysi,SG Citizen,31,Female,Chinese
Jurong Point,Bysi,SG PR,40,Female,Chinese
Jurong Point,Bysi,SG Citizen,32,Male,Malay
Jurong Point,Bysi,SG Citizen,26,Female,Chinese
Jurong Point,Bysi,SG Citizen,24,Male,Chinese
Vivocity,Bysi,SG Citizen,40,Female,Chinese
Vivocity,Bysi,SG Citizen,27,Female,Chinese
Vivocity,Bysi,SG Citizen,22,Female,Chinese
Vivocity,Bysi,SG Citizen,21,Female,Chinese
Vivocity,Bysi,SG Citizen,21,Female,Chinese
Vivocity,Bysi,SG Citizen,47,Female,Chinese
Vivocity,Bysi,SG Citizen,19,Female,Chinese
Vivocity,Bysi,SG Citizen,33,Female,Chinese
Centrepoint,Bysi,SG Citizen,25,Female,Chinese
Centrepoint,Bysi,SG Citizen,23,Female,Indian
Centrepoint,Bysi,SG Citizen,27,Female,Chinese
Centrepoint,Bysi,SG Citizen,38,Female,Chinese
Centrepoint,Bysi,SG Citizen,29,Female,Chinese
Centrepoint,Bysi,SG Citizen,17,Male,Malay
Centrepoint,Bysi,SG Citizen,33,Female,Chinese
Centrepoint,Bysi,SG Citizen,20,Female,Chinese
Vivocity,Bysi,SG Citizen,27,Female,Chinese
Vivocity,Bysi,SG Citizen,30,Female,Chinese
Vivocity,Bysi,SG Citizen,22,Female,Chinese
Vivocity,Bysi,SG Citizen,37,Female,Chinese
Vivocity,Bysi,SG Citizen,19,Female,Chinese
Vivocity,Bysi,SG Citizen,20,Female,Chinese
Vivocity,Bysi,SG Citizen,20,Female,Indian
Vivocity,Bysi,SG Citizen,20,Female,Malay
313Somerset,Bysi,SG Citizen,22,Female,Chinese
313Somerset,Bysi,SG Citizen,43,Female,Chinese
313Somerset,Bysi,SG Citizen,29,Female,Chinese
313Somerset,Bysi,SG Citizen,36,Female,Indian
313Somerset,Bysi,SG Citizen,20,Female,Chinese
313Somerset,Bysi,SG Citizen,23,Female,Chinese
313Somerset,Bysi,SG PR,20,Female,Chinese
313Somerset,Bysi,SG Citizen,26,Female,Chinese
Jurong Point,Bysi,SG Citizen,23,Female,Chinese
Jurong Point,Bysi,SG Citizen,30,Male,Chinese
Jurong Point,Bysi,SG Citizen,24,Female,Chinese
Jurong Point,Bysi,SG Citizen,36,Female,Chinese
Jurong Point,Bysi,SG Citizen,28,Male,Chinese
Jurong Point,Bysi,SG Citizen,26,Female,Chinese
Jurong Point,Bysi,SG Citizen,29,Male,Chinese
Jurong Point,Bysi,SG Citizen,37,Female,Malay
Centrepoint,Bysi,SG Citizen,24,Female,Malay
Centrepoint,Bysi,SG Citizen,38,Female,Chinese
Centrepoint,Bysi,SG Citizen,27,Female,Chinese
Centrepoint,Bysi,SG PR,33,Female,Chinese
Centrepoint,Bysi,SG Citizen,22,Female,Chinese
Centrepoint,Bysi,SG Citizen,22,Female,Chinese
Centrepoint,Bysi,SG Citizen,43,Female,Chinese
Centrepoint,Bysi,SG Citizen,30,Female,Eurasian
Vivocity,Bysi,SG Citizen,19,Female,Indian
Vivocity,Bysi,SG Citizen,21,Female,Malay
Vivocity,Bysi,SG Citizen,21,Female,Chinese
Vivocity,Bysi,SG Citizen,25,Female,Chinese
Vivocity,Bysi,SG Citizen,19,Female,Chinese
Vivocity,Bysi,Student Pass,19,Female,Indian
Vivocity,Bysi,SG Citizen,19,Female,Chinese
Centrepoint,Bysi,SG Citizen,33,Female,Malay
Centrepoint,Bysi,SG Citizen,18,Female,Chinese
Centrepoint,Bysi,SG PR,27,Female,Indian
Centrepoint,Bysi,SG Citizen,23,Female,Chinese
313Somerset,Bysi,SG Citizen,35,Female,Chinese
313Somerset,Bysi,SG Citizen,20,Female,Chinese
313Somerset,Bysi,SG Citizen,23,Female,Malay
313Somerset,Bysi,SG Citizen,20,Male,Malay
Jurong Point,Bysi,SG Citizen,41,Female,Malay
Jurong Point,Bysi,SG Citizen,18,Female,Malay
Jurong Point,Bysi,SG Citizen,29,Female,Chinese
Jurong Point,Bysi,SG Citizen,19,Female,Malay
Jurong Point,Bysi,SG Citizen,17,Female,Chinese
Jurong Point,Bysi,SG Citizen,23,Female,Malay
Hougang Mall,Capitol Optical,SG Citizen,26,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,18,Female,Malay
Hougang Mall,Capitol Optical,SG Citizen,19,Female,Indian
Hougang Mall,Capitol Optical,SG PR,40,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,35,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,22,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,30,Female,Malay
Jurong Point,Capitol Optical,SG Citizen,34,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,46,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,32,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,25,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,35,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,49,Male,Malay
Raffles City,Capitol Optical,SG Citizen,20,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,38,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,31,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,35,Female,Malay
Raffles City,Capitol Optical,SG Citizen,19,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,31,Male,Malay
Jurong Point,Capitol Optical,SG Citizen,47,Male,Malay
Jurong Point,Capitol Optical,SG Citizen,28,Male,Indian
Jurong Point,Capitol Optical,SG Citizen,21,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,43,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,62,Female,Malay
Hougang Mall,Capitol Optical,SG Citizen,25,Female,Malay
Hougang Mall,Capitol Optical,SG Citizen,41,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,47,Male,Indian
Hougang Mall,Capitol Optical,SG PR,35,Female,Indian
Hougang Mall,Capitol Optical,SG Citizen,38,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,54,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,47,Female,Eurasian
Raffles City,Capitol Optical,SG Citizen,41,Female,Chinese
Raffles City,Capitol Optical,SG PR,32,Female,Others
Raffles City,Capitol Optical,SG Citizen,24,Male,Chinese
Raffles City,Capitol Optical,SG PR,46,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,38,Female,Malay
Raffles City,Capitol Optical,SG PR,30,Male,Others
Jurong Point,Capitol Optical,SG Citizen,23,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,37,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,24,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,41,Male,Indian
Jurong Point,Capitol Optical,SG Citizen,45,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,22,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,21,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,25,Female,Chinese
Raffles City,Capitol Optical,Student Pass,22,Female,Others
Raffles City,Capitol Optical,SG Citizen,30,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,37,Male,Indian
Raffles City,Capitol Optical,SG Citizen,25,Male,Indian
Raffles City,Capitol Optical,SG Citizen,24,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,47,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,26,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,30,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,30,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,23,Female,Indian
Hougang Mall,Capitol Optical,SG Citizen,17,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,47,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,42,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,38,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,21,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,28,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,24,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,28,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,23,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,39,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,31,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,31,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,41,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,29,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,39,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,22,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,56,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,28,Male,Indian
Jurong Point,Capitol Optical,SG Citizen,27,Male,Malay
Jurong Point,Capitol Optical,SG Citizen,19,Male,Chinese
Jurong Point,Capitol Optical,SG Citizen,48,Female,Chinese
Jurong Point,Capitol Optical,SG Citizen,40,Female,Malay
Jurong Point,Capitol Optical,SG Citizen,45,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,29,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,37,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,29,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,21,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,44,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,27,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,35,Female,Indian
Hougang Mall,Capitol Optical,SG Citizen,19,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,24,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,50,Female,Others
Raffles City,Capitol Optical,SG Citizen,34,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,22,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,26,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,31,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,38,Male,Indian
Raffles City,Capitol Optical,SG Citizen,40,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,26,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,26,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,36,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,24,Male,Malay
Hougang Mall,Capitol Optical,SG Citizen,49,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,54,Male,Chinese
Hougang Mall,Capitol Optical,SG PR,32,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,52,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,20,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,26,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,51,Female,Chinese
Hougang Mall,Capitol Optical,SG Citizen,43,Male,Chinese
Hougang Mall,Capitol Optical,SG Citizen,19,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,19,Female,Chinese
Raffles City,Capitol Optical,SG Citizen,21,Female,Malay
Raffles City,Capitol Optical,SG Citizen,19,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,38,Male,Chinese
Raffles City,Capitol Optical,SG Citizen,28,Male,Chinese
